,CarName,carbody,drivewheel,fueltype,doornumber,cylindernumber,symboling,wheelbase,horsepower,price,carlength,carwidth,carheight,curbweight,enginesize,compressionratio,mpg_avg
0,alfa-romero giulia,convertible,1,0,2,4,3,88.6,111,13495.0,168.8,64.1,48.8,2548,130,9.0,24.0
1,alfa-romero stelvio,convertible,1,0,2,4,3,88.6,111,16500.0,168.8,64.1,48.8,2548,130,9.0,24.0
2,alfa-romero Quadrifoglio,hatchback,1,0,2,6,1,94.5,154,16500.0,171.2,65.5,52.4,2823,152,9.0,22.5
3,audi 100 ls,sedan,0,0,4,4,2,99.8,102,13950.0,176.6,66.2,54.3,2337,109,10.0,27.0
4,audi 100ls,sedan,2,0,4,5,2,99.4,115,17450.0,176.6,66.4,54.3,2824,136,8.0,20.0
5,audi fox,sedan,0,0,2,5,2,99.8,110,15250.0,177.3,66.3,53.1,2507,136,8.5,22.0
6,audi 100ls,sedan,0,0,4,5,1,105.8,110,17710.0,192.7,71.4,55.7,2844,136,8.5,22.0
7,audi 5000,wagon,0,0,4,5,1,105.8,110,18920.0,192.7,71.4,55.7,2954,136,8.5,22.0
8,audi 4000,sedan,0,0,4,5,1,105.8,140,23875.0,192.7,71.4,55.9,3086,131,8.3,18.5
9,audi 5000s (diesel),hatchback,2,0,2,5,0,99.5,160,17859.167,178.2,67.9,52.0,3053,131,7.0,19.0
10,bmw 320i,sedan,1,0,2,4,2,101.2,101,16430.0,176.8,64.8,54.3,2395,108,8.8,26.0
11,bmw 320i,sedan,1,0,4,4,0,101.2,101,16925.0,176.8,64.8,54.3,2395,108,8.8,26.0
12,bmw x1,sedan,1,0,2,6,0,101.2,121,20970.0,176.8,64.8,54.3,2710,164,9.0,24.5
13,bmw x3,sedan,1,0,4,6,0,101.2,121,21105.0,176.8,64.8,54.3,2765,164,9.0,24.5
14,bmw z4,sedan,1,0,4,6,1,103.5,121,24565.0,189.0,66.9,55.7,3055,164,9.0,22.5
15,bmw x4,sedan,1,0,4,6,0,103.5,182,30760.0,189.0,66.9,55.7,3230,209,8.0,19.0
